12FF, , 13FM, , 14FF, , 15FM, , 18FM, , 19FM, , 20FM, , 22FM, 
1.317496431, 725.6035389, 1.416726394, 666.2818653, 1.114208132, 680.9516006, 1.293819949, 697.1117288, 0.632082868, 885.4956757, 0.724929434, 837.0983102, 0.448200064, 913.2859693, 0.798845941, 753.6293271
1.35139049, 734.5561977, 1.453966958, 671.9977641, 1.151957579, 677.3865937, 1.331713329, 692.576969, 0.669823186, 885.2092686, 0.761052049, 840.2797731, 0.485476761, 922.9854188, 0.836482987, 748.4246912
1.385681842, 741.4804349, 1.491207523, 677.7136629, 1.189711602, 674.402256, 1.369642505, 691.0418858, 0.707511992, 882.5739111, 0.797183487, 841.7407474, 0.52264268, 928.4265734, 0.874120033, 743.2200553
1.419963597, 747.7572309, 1.528446387, 683.5468788, 1.227463794, 671.1856506, 1.407585448, 690.6605244, 0.745193072, 879.586211, 0.833314337, 843.3164209, 0.55973167, 930.9105788, 0.91176704, 738.9288892
1.45425335, 754.5735613, 1.565702254, 688.2069226, 1.265215072, 667.8529113, 1.445536652, 690.9713959, 0.782843244, 875.1891407, 0.86946048, 841.9099141, 0.596765272, 931.2654367, 0.949405331, 733.838437
1.488531907, 760.6345435, 1.60295132, 693.3362353, 1.302970925, 665.1008412, 1.483501623, 692.4359892, 0.820524324, 872.2014406, 0.905609565, 839.929911, 0.633725021, 928.7814313, 0.987052339, 729.5472709
1.522813662, 766.9113395, 1.640171482, 700.4599406, 1.340745997, 664.7875819, 1.521503766, 697.0156312, 0.858220857, 869.9184256, 0.941762766, 837.1470133, 0.670598611, 922.9854188, 1.024706817, 725.9412071
1.557103415, 773.7276699, 1.677413747, 706.0585222, 1.378520153, 664.3581887, 1.559483882, 699.7493184, 0.895886483, 866.2260404, 0.977908321, 835.8552057, 0.707386039, 913.8773992, 1.062368767, 723.0202456
1.591378773, 779.5728384, 1.714661112, 711.3051521, 1.416301631, 664.8578662, 1.597473635, 703.2906108, 0.93358044, 863.8255779, 1.014057994, 833.7605034, 0.743175854, 902.0014879, 1.100031961, 720.2134678
1.624463459, 785.177582, 1.751928881, 715.1439754, 1.454113309, 669.1899605, 1.635468895, 707.2933919, 0.971266671, 861.0727729, 1.050205901, 832.0098988, 0.774566562, 887.0659128, 1.137700137, 717.8634249
1.658760498, 792.4854881, 1.78919495, 719.1001159, 1.49194146, 675.612464, 1.673482053, 712.7960113, 1.009017292, 861.2561559, 1.086352633, 830.4886928, 0.811977286, 872.2670238, 1.175375784, 716.1984843
1.694264025, 801.1008981, 1.826488222, 721.179181, 1.529772356, 682.3833689, 1.711488327, 717.7217697, 1.046762761, 861.2046438, 1.122500541, 828.7380882, 0.840982529, 855.9536699, 1.213053921, 714.7619112
1.728987538, 808.3490833, 1.863796797, 722.2023911, 1.567609659, 689.9672108, 1.749491847, 722.4167839, 1.084495353, 860.5658941, 1.158635508, 829.510867, 0.871608303, 842.63285, 1.250728322, 712.9827869
1.76287392, 816.7837892, 1.901120674, 722.1697463, 1.605450622, 698.0155881, 1.787502251, 727.6886589, 1.122217642, 859.4573544, 1.194779298, 828.5631571, 0.90484202, 828.8804812, 1.288406459, 711.5462137
1.797176468, 824.4633745, 1.93843945, 722.4890532, 1.643280603, 704.6703592, 1.825529177, 734.345, 1.159945082, 858.5837096, 1.230919559, 828.3036427, 0.939150089, 819.0646233, 1.326080861, 709.7670894
1.8314675, 831.3660303, 1.975776929, 721.5178707, 1.681084045, 707.9572489, 1.863547841, 740.309108, 1.197669947, 857.5926174, 1.267054527, 829.0764216, 0.97767748, 807.6565987, 1.363758998, 708.3305163
